food,cazyme,coef,id,fdr_p,p,cazy_cat,bin,pairs,detect_dup
Grains,GH55,-0.75,MCTs33,0.138714915925687,0.000525730789939475,GH,Negative (+/-),Grains_GH55,Grains_GH55_MCTs33
Sweets and Beverages,GH137,-0.737745098039216,MCTs33,0.138714915925687,0.000723824670499067,GH,Negative (+/-),Sweets and Beverages_GH137,Sweets and Beverages_GH137_MCTs33
Vegetables,CE3,-0.727941176470588,MCTs33,0.138714915925687,0.000923646534614136,CE,Negative (+/-),Vegetables_CE3,Vegetables_CE3_MCTs33
Vegetables,GH42,0.752450980392157,MCTs33,0.138714915925687,0.000492110824356531,GH,Positive (+/+ or -/-),Vegetables_GH42,Vegetables_GH42_MCTs33
Grains,GH115,-0.57843137254902,MCTs32,0.138996000116269,0.0149969368546501,GH,Negative (+/-),Grains_GH115,Grains_GH115_MCTs32
Grains,GH133,0.771428571428571,MCTs35,0.143125207189577,0.00123265728680019,GH,Positive (+/+ or -/-),Grains_GH133,Grains_GH133_MCTs35
Sweets and Beverages,AA6,0.775824175824176,MCTs35,0.143125207189577,0.00110847866777874,AA,Positive (+/+ or -/-),Sweets and Beverages_AA6,Sweets and Beverages_AA6_MCTs35
Grains,CE14,0.729411764705882,MCTs07,0.143978034751529,0.00134307868238367,CE,Positive (+/+ or -/-),Grains_CE14,Grains_CE14_MCTs07
Grains,GT9,0.729411764705882,MCTs07,0.143978034751529,0.00134307868238367,GT,Positive (+/+ or -/-),Grains_GT9,Grains_GT9_MCTs07
Vegetables,GH92,-0.732352941176471,MCTs07,0.143978034751529,0.00125495816615226,GH,Negative (+/-),Vegetables_GH92,Vegetables_GH92_MCTs07
Eggs,PL9,0.747549019607843,MCTs37,0.145697424371332,0.000561238152431941,PL,Positive (+/+ or -/-),Eggs_PL9,Eggs_PL9_MCTs37
Grains,GH106,-0.720588235294118,MCTs33,0.151672288813197,0.00110173575409102,GH,Negative (+/-),Grains_GH106,Grains_GH106_MCTs33
Sweets and Beverages,CE1,-0.835164835164835,MCTs34,0.153350592341332,0.00038020808018512,CE,Negative (+/-),Sweets and Beverages_CE1,Sweets and Beverages_CE1_MCTs34
Sweets and Beverages,GT4,-0.867132867132867,MCTs13,0.155757203991958,0.000259811849861481,GT,Negative (+/-),Sweets and Beverages_GT4,Sweets and Beverages_GT4_MCTs13
