#queryid	MCT.f.0477	MCT.f.0481	MCT.f.0482	MCT.f.0486	MCT.f.0488	MCT.f.0489	MCT.f.0492	taxonomy
cazy_0053_gene_3310	0.0	4.0	11.0	6.0	0.0	5.0	19.0	L1_CAZyme;L2_Enzyme_Classes;L3_GlycosideHydrolases;L4_GH2
cazy_0058_gene_3541	1.0	9.0	21.0	10.0	0.0	1.0	10.0	L1_CAZyme;L2_Enzyme_Classes;L3_GlycosideHydrolases;L4_GH2
cazy_0080_gene_4150	2.0	6.0	17.0	13.0	1.0	7.0	7.0	L1_CAZyme;L2_Enzyme_Classes;L3_GlycosideHydrolases;L4_GH2
cazy_0151_gene_752	1.0	8.0	22.0	10.0	0.0	0.0	9.0	L1_CAZyme;L2_Enzyme_Classes;L3_GlycosideHydrolases;L4_GH2
cazy_0165_gene_8372	0.0	7.0	5.0	4.0	0.0	0.0	3.0	L1_CAZyme;L2_Enzyme_Classes;L3_GlycosideHydrolases;L4_GH20
cazy_0172_gene_8506	0.0	3.0	5.0	0.0	0.0	0.0	2.0	L1_CAZyme;L2_Enzyme_Classes;L3_GlycosideHydrolases;L4_GH20
cazy_0010_gene_1548	0.0	0.0	0.0	0.0	0.0	6.0	2.0	L1_CAZyme;L2_Enzyme_Classes;L3_GlycosideHydrolases;L4_GH23
cazy_0073_gene_401	1.0	0.0	4.0	3.0	0.0	22.0	11.0	L1_CAZyme;L2_Enzyme_Classes;L3_GlycosideHydrolases;L4_GH23
cazy_0082_gene_415	0.0	0.0	0.0	2.0	0.0	12.0	2.0	L1_CAZyme;L2_Enzyme_Classes;L3_GlycosideHydrolases;L4_GH23
cazy_0131_gene_6609	0.0	0.0	0.0	0.0	0.0	1.0	3.0	L1_CAZyme;L2_Enzyme_Classes;L3_GlycosideHydrolases;L4_GH23
cazy_0136_gene_684	0.0	1.0	0.0	0.0	0.0	25.0	3.0	L1_CAZyme;L2_Enzyme_Classes;L3_GlycosideHydrolases;L4_GH23
cazy_0060_gene_3629	0.0	3.0	3.0	1.0	0.0	0.0	3.0	L1_CAZyme;L2_Enzyme_Classes;L3_GlycosideHydrolases;L4_GH24
cazy_0059_gene_3560	0.0	4.0	5.0	0.0	0.0	0.0	11.0	L1_CAZyme;L2_Enzyme_Classes;L3_GlycosideHydrolases;L4_GH25
cazy_0116_gene_5757	0.0	3.0	4.0	1.0	0.0	0.0	0.0	L1_CAZyme;L2_Enzyme_Classes;L3_GlycosideHydrolases;L4_GH25
cazy_0001_gene_1139	0.0	13.0	9.0	3.0	0.0	0.0	6.0	L1_CAZyme;L2_Enzyme_Classes;L3_GlycosideHydrolases;L4_GH28
cazy_0031_gene_2528	3.0	5.0	7.0	8.0	0.0	0.0	3.0	L1_CAZyme;L2_Enzyme_Classes;L3_GlycosideHydrolases;L4_GH28
cazy_0054_gene_3384	0.0	4.0	8.0	3.0	0.0	0.0	8.0	L1_CAZyme;L2_Enzyme_Classes;L3_GlycosideHydrolases;L4_GH28
cazy_0107_gene_5510	0.0	4.0	4.0	1.0	0.0	0.0	8.0	L1_CAZyme;L2_Enzyme_Classes;L3_GlycosideHydrolases;L4_GH28
